File,Source,License,Modifications
agap-logo-afp.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Armed_Forces_of_the_Philippines.svg,PD,
agap-logo-amlac.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Anti-Money_Laundering_Council_Philippines.svg,PD,
agap-logo-arta.png,https://commons.wikimedia.org/wiki/File:Anti-Red_Tape_Authority_Logo.png,PD,
agap-logo-bfp.png,https://commons.wikimedia.org/wiki/File:Bureau_of_Fire_Protection.png,PD,
agap-logo-bi.png,https://commons.wikimedia.org/wiki/File:Bureau_of_Immigration_PH_2022.png,PD,
agap-logo-bir.svg,https://commons.wikimedia.org/wiki/File:Bureau_of_Internal_Revenue_(BIR).svg,PD,
agap-logo-bjmp.png,https://commons.wikimedia.org/wiki/File:Bureau_of_Jail_Management_and_Penology.png,PD,
agap-logo-boc.svg,https://commons.wikimedia.org/wiki/File:Bureau_of_Customs.svg,PD,
agap-logo-bsp.svg,https://commons.wikimedia.org/wiki/File:Bangko_Sentral_ng_Pilipinas_(BSP).svg,PD,
agap-logo-btr.svg,https://commons.wikimedia.org/wiki/File:Bureau_of_Treasury.svg,PD,
agap-logo-caap.svg,https://commons.wikimedia.org/wiki/File:Civil_Aviation_Authority_of_the_Philippines_(CAAP).svg,PD,
agap-logo-ched.svg,https://commons.wikimedia.org/wiki/File:Commission_on_Higher_Education_(CHEd).svg,PD,
agap-logo-chr.svg,https://commons.wikimedia.org/wiki/File:Commission_on_Human_Rights_(CHR)_-_Republic_of_the_Philippines.svg,PD,
agap-logo-coa.svg,https://commons.wikimedia.org/wiki/File:Commission_on_Audit.svg,PD,
agap-logo-comelec.svg,https://commons.wikimedia.org/wiki/File:Commission_on_Elections_(COMELEC).svg,PD,
agap-logo-csc.svg,https://commons.wikimedia.org/wiki/File:Civil_Service_Commission.svg,PD,
agap-logo-da.svg,https://commons.wikimedia.org/wiki/File:Department_of_Agriculture_of_the_Philippines.svg,PD,
agap-logo-dar.svg,https://commons.wikimedia.org/wiki/File:Department_of_Agrarian_Reform_(DAR).svg,PD,
agap-logo-dbm.svg,https://commons.wikimedia.org/wiki/File:Department_of_Budget_and_Management_(DBM).svg,PD,
agap-logo-denr.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Department_of_Environment_and_Natural_Resources.svg,PD,
agap-logo-depdev.svg,"https://commons.wikimedia.org/wiki/File:Department_of_Economy,_Planning_and_Development_(DEPDev).svg",PD,
agap-logo-deped.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Department_of_Education_of_the_Philippines.svg,PD,
agap-logo-dfa.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Department_of_Foreign_Affairs_of_the_Philippines.svg,PD,
agap-logo-dhsud.svg,https://commons.wikimedia.org/wiki/File:Department_of_Human_Settlements_and_Urban_Development_(DHSUD).svg,PD,
agap-logo-dict.svg,https://commons.wikimedia.org/wiki/File:Department_of_Information_and_Communications_Technology_(DICT).svg,PD,
agap-logo-dilg.svg,https://commons.wikimedia.org/wiki/File:Department_of_the_Interior_and_Local_Government_(DILG)_Seal_-_Logo.svg,PD,
agap-logo-dmw.svg,https://commons.wikimedia.org/wiki/File:Department_of_Migrant_Workers_(DMW).svg,PD,
agap-logo-dnd.svg,https://commons.wikimedia.org/wiki/File:Department_of_National_Defense_-_DND_(Philippines).svg,PD,
agap-logo-doe.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Department_of_Energy_(Philippines).svg,PD,
agap-logo-dof.svg,https://commons.wikimedia.org/wiki/File:Department_of_Finance_(DOF).svg,PD,
agap-logo-doh.svg,https://commons.wikimedia.org/wiki/File:Department_of_Health_(DOH)_PHL.svg,PD,
agap-logo-doj.svg,https://commons.wikimedia.org/wiki/File:Department_of_Justice_(DOJ).svg,PD,
agap-logo-dole.svg,https://commons.wikimedia.org/wiki/File:Department_of_Labor_and_Employment_(DOLE).svg,PD,
agap-logo-dost.svg,https://commons.wikimedia.org/wiki/File:DOST_seal.svg,PD,
agap-logo-dot.svg,https://commons.wikimedia.org/wiki/File:Department_of_Tourism_(DOT).svg,PD,
agap-logo-dotr.svg,https://commons.wikimedia.org/wiki/File:Department_of_Transportation_(Philippines).svg,PD,
agap-logo-dpwh.svg,https://commons.wikimedia.org/wiki/File:Department_of_Public_Works_and_Highways_(DPWH).svg,PD,
agap-logo-dswd.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Department_of_Social_Welfare_and_Development.svg,PD,
agap-logo-dti.svg,https://commons.wikimedia.org/wiki/File:Department_of_Trade_and_Industry_(DTI).svg,PD,
agap-logo-erc.svg,https://commons.wikimedia.org/wiki/File:Energy_Regulatory_Commission_(ERC).svg,PD,
agap-logo-fda.svg,https://commons.wikimedia.org/wiki/File:Food_and_Drug_Administration_(FDA)_Philippines.svg,PD,
agap-logo-gsis.svg,https://commons.wikimedia.org/wiki/File:Government_Service_Insurance_System_(Philippines)_(logo).svg,PD,
agap-logo-ltfrb.svg,https://commons.wikimedia.org/wiki/File:LTFRB_Seal.svg,PD,
agap-logo-lto.svg,https://commons.wikimedia.org/wiki/File:Land_Transportation_Office.svg,PD,
agap-logo-mmda.png,https://commons.wikimedia.org/wiki/File:Metropolitan_Manila_Development_Authority_(MMDA).png,PD,
agap-logo-namria.svg,https://commons.wikimedia.org/wiki/File:National_Mapping_and_Resource_Information_Authority_(NAMRIA).svg,PD,
agap-logo-napolcom.svg,https://commons.wikimedia.org/wiki/File:National_Police_Commission_(NAPOLCOM).svg,PD,
agap-logo-nbi.svg,https://commons.wikimedia.org/wiki/File:National_Bureau_of_Investigation_(NBI).svg,PD,
agap-logo-neda.svg,https://commons.wikimedia.org/wiki/File:National_Economic_and_Development_Authority_(NEDA).svg,PD,
agap-logo-nfa.svg,https://commons.wikimedia.org/wiki/File:National_Food_Authority_(NFA).svg,PD,
agap-logo-nha.svg,https://commons.wikimedia.org/wiki/File:National_Housing_Authority_(NHA).svg,PD,
agap-logo-nia.svg,https://commons.wikimedia.org/wiki/File:National_Irrigation_Administration_(NIA).svg,PD,
agap-logo-ntc.svg,https://commons.wikimedia.org/wiki/File:National_Telecommunications_Commission.svg,PD,
agap-logo-ocd.svg,https://commons.wikimedia.org/wiki/File:Office_of_Civil_Defense_(OCD)_Philippines.svg,PD,
agap-logo-omb.svg,https://commons.wikimedia.org/wiki/File:Ombudsman_of_the_Philippines_(Tanodbayan).svg,PD,
agap-logo-op.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Office_of_the_President_of_the_Philippines.svg,PD,
agap-logo-ovp.svg,https://commons.wikimedia.org/wiki/File:Seal_of_the_Office_of_the_Vice_President_of_the_Philippines.svg,PD,
agap-logo-owwa.svg,https://commons.wikimedia.org/wiki/File:Overseas_Workers_Welfare_Administration_(OWWA)_-_Philippines.svg,PD,
agap-logo-pagasa.svg,"https://commons.wikimedia.org/wiki/File:Philippine_Atmospheric,_Geophysical_and_Astronomical_Services_Administration_(PAGASA)_logo.svg",PD,
agap-logo-pagcor.svg,https://commons.wikimedia.org/wiki/File:Philippine_Amusement_and_Gaming_Corporation_(PAGCOR).svg,PD,
agap-logo-pcg.svg,https://commons.wikimedia.org/wiki/File:Philippine_Coast_Guard_(PCG).svg,PD,
agap-logo-pdea.svg,https://commons.wikimedia.org/wiki/File:PDEA_seal.svg,PD,
agap-logo-pca.svg,https://commons.wikimedia.org/wiki/File:Philippine_Coconut_Authority_(PhilCOA).svg,PD,
agap-logo-philhealth.svg,https://commons.wikimedia.org/wiki/File:Philippine_Health_Insurance_Corporation_(PhilHealth).svg,PD,
agap-logo-philsa.svg,https://commons.wikimedia.org/wiki/File:Philippine_Space_Agency_(PhilSA).svg,PD,
agap-logo-phivolcs.svg,https://commons.wikimedia.org/wiki/File:Philippine_Institute_of_Volcanology_and_Seismology_(PHIVOLCS).svg,PD,
agap-logo-pnp.svg,https://commons.wikimedia.org/wiki/File:Philippine_National_Police_seal.svg,PD,
agap-logo-dds.svg,https://commons.wikimedia.org/wiki/File:Dagelijkse_Standaard.svg,PD,
agap-logo-psa.svg,https://commons.wikimedia.org/wiki/File:Philippine_Statistics_Authority.svg,PD,
agap-logo-sss.svg,https://commons.wikimedia.org/wiki/File:Social_Security_System_(SSS).svg,PD,
agap-logo-tesda.svg,https://commons.wikimedia.org/wiki/File:Technical_Education_and_Skills_Development_Authority_(TESDA).svg,PD,
